Business Name,Facebook Page,Phone Number,Email
Dapur Sedap UMKM 675,https://www.facebook.com/dapursedapumkm675,+62 812 7884155,contact@dapursedapumkm675.com
Bahasa Inggris Cepat 191,None,+62 812 7993443,contact@bahasainggriscepat191.com
Anugerah Tailor 138,https://www.facebook.com/anugerahtailor138,+62 812 1296283,contact@anugerahtailor138.com
Express Clean Laundry 372,https://www.facebook.com/expresscleanlaundry372,+62 812 7141026,contact@expresscleanlaundry372.com
Laundry Kiloan Bersih 34,https://www.facebook.com/laundrykiloanbersih34,+62 812 1753335,info@laundrykiloanbersih34.com
Bimbingan Belajar Pintar 735,https://www.facebook.com/bimbinganbelajarpintar735,+62 812 3476913,contact@bimbinganbelajarpintar735.com
Doctor Phone Indonesia 240,https://www.facebook.com/doctorphoneindonesia240,+62 812 1482830,info@doctorphoneindonesia240.com
ManiPedi Express Bali 837,https://www.facebook.com/manipediexpressbali837,+62 812 2278309,contact@manipediexpressbali837.com
Laundry Kiloan Bersih 216,None,+62 812 1392140,info@laundrykiloanbersih216.com
Laundry Kiloan Bersih 306,None,+62 812 8992339,info@laundrykiloanbersih306.com
Nasi Kotak Berkah 147,None,+62 812 7591286,contact@nasikotakberkah147.com
Solusi Komputer Jaya 100,https://www.facebook.com/solusikomputerjaya100,+62 812 9967517,contact@solusikomputerjaya100.com
Laundry Kiloan Bersih 587,https://www.facebook.com/laundrykiloanbersih587,+62 812 6161053,contact@laundrykiloanbersih587.com
Cuci Kasur Wangi 724,None,+62 812 4275783,contact@cucikasurwangi724.com
Salon Cantik Keliling 242,https://www.facebook.com/saloncantikkeliling242,+62 812 2565878,contact@saloncantikkeliling242.com
Obyek Wisata Photo Co. 867,https://www.facebook.com/obyekwisataphotoco867,+62 812 4396160,contact@obyekwisataphotoco867.com
Anggun Mobile Beauty 284,https://www.facebook.com/anggunmobilebeauty284,+62 812 5315287,contact@anggunmobilebeauty284.com
Sari Laundry & Dry Clean 400,https://www.facebook.com/sarilaundrydryclean400,+62 812 5854740,contact@sarilaundrydryclean400.com
Penjahit Rapi Jaya 308,None,+62 812 3462677,info@penjahitrapijaya308.com
Anggun Mobile Beauty 665,https://www.facebook.com/anggunmobilebeauty665,+62 812 1338515,contact@anggunmobilebeauty665.com
Sari Laundry & Dry Clean 660,None,+62 812 7316544,info@sarilaundrydryclean660.com
Anggun Mobile Beauty 60,https://www.facebook.com/anggunmobilebeauty60,+62 812 9273346,contact@anggunmobilebeauty60.com
Salon Cantik Keliling 421,None,+62 812 2502133,contact@saloncantikkeliling421.com
Sutra Alterasi 421,https://www.facebook.com/sutraalterasi421,+62 812 4024944,contact@sutraalterasi421.com
Catering Ibu Sri 883,https://www.facebook.com/cateringibusri883,+62 812 8339955,contact@cateringibusri883.com
Abyssinia Wedding Studio 93,https://www.facebook.com/abyssiniaweddingstudio93,+251 91 1788766,contact@abyssiniaweddingstudio93.com
Selam Home Cleaning 357,https://www.facebook.com/selamhomecleaning357,+251 91 2951738,contact@selamhomecleaning357.com
Lucy Office Helpers 122,https://www.facebook.com/lucyofficehelpers122,+251 91 4638311,contact@lucyofficehelpers122.com
Lucy Office Helpers 865,https://www.facebook.com/lucyofficehelpers865,+251 91 2675045,contact@lucyofficehelpers865.com
Addis Buffet & Injera 257,https://www.facebook.com/addisbuffetinjera257,+251 91 8829520,info@addisbuffetinjera257.com
Bole Memories Photography 85,https://www.facebook.com/bolememoriesphotography85,+251 91 1156239,contact@bolememoriesphotography85.com
Abyssinia Catering Services 223,https://www.facebook.com/abyssiniacateringservices223,+251 91 4096939,contact@abyssiniacateringservices223.com
Lucy Office Helpers 460,None,+251 91 5154800,contact@lucyofficehelpers460.com
Habesha Custom Tailors 653,https://www.facebook.com/habeshacustomtailors653,+251 91 2013573,info@habeshacustomtailors653.com
Abyssinia Traditional Tailors 768,https://www.facebook.com/abyssiniatraditionaltailors768,+251 91 4048201,info@abyssiniatraditionaltailors768.com
Enat Beauty Salons 69,https://www.facebook.com/enatbeautysalons69,+251 91 6663627,info@enatbeautysalons69.com
Addis Beauty On-The-Go 236,https://www.facebook.com/addisbeautyon-the-go236,+251 91 4827878,info@addisbeautyonthego236.com
Addis Buffet & Injera 471,https://www.facebook.com/addisbuffetinjera471,+251 91 9121336,contact@addisbuffetinjera471.com
Sheger Digital Prints 43,https://www.facebook.com/shegerdigitalprints43,+251 91 1555364,contact@shegerdigitalprints43.com
Abyssinia IT Solutions 181,https://www.facebook.com/abyssiniaitsolutions181,+251 91 9542114,contact@abyssiniaitsolutions181.com
Selam Sew Styles 977,https://www.facebook.com/selamsewstyles977,+251 91 5561004,info@selamsewstyles977.com
Chala Home Food 534,https://www.facebook.com/chalahomefood534,+251 91 2476028,contact@chalahomefood534.com
Sheger Mobile Hair 235,https://www.facebook.com/shegermobilehair235,+251 91 8924644,contact@shegermobilehair235.com
Lucy Laptop Maintenance 342,https://www.facebook.com/lucylaptopmaintenance342,+251 91 5348148,contact@lucylaptopmaintenance342.com
Bole Laundry & Dry Cleaning 665,None,+251 91 1483822,contact@bolelaundrydrycleaning665.com
Addis Sparkling Cleaners 814,https://www.facebook.com/addissparklingcleaners814,+251 91 3815652,contact@addissparklingcleaners814.com
Abyssinia Traditional Tailors 786,None,+251 91 5602105,contact@abyssiniatraditionaltailors786.com
Abyssinia Wedding Studio 347,https://www.facebook.com/abyssiniaweddingstudio347,+251 91 4568261,contact@abyssiniaweddingstudio347.com
Lucy Office Helpers 501,None,+251 91 4069966,contact@lucyofficehelpers501.com
Lucy Fashion Design 783,https://www.facebook.com/lucyfashiondesign783,+251 91 7814953,info@lucyfashiondesign783.com
